recalling_firm_normalized,recall_count,unique_event_count,class_i_count,class_i_pct,first_report_date,latest_report_date,median_reporting_lag_days,active_year_count
AZURITY PHARMACEUTICALS INC,4,4,2,50.0,2021-10-13,2024-02-07,42.0,3
BOOTHWYN PHARMACY LLC,4,1,0,0.0,2025-09-10,2025-09-10,63.0,1
BOULLA LLC,4,1,4,100.0,2024-12-11,2024-12-11,37.0,1
BRASSICA PHARMA PVT LTD,4,1,0,0.0,2024-03-06,2024-03-06,36.0,1
CHURCH DWIGHT INC,4,2,4,100.0,2023-10-25,2025-07-09,33.0,2
COMPLETE PHARMACY AND MEDICAL SOLUTIONS LLC,4,1,0,0.0,2021-01-27,2021-01-27,68.0,1
DIBAR NUTRICIONAL S DE RL DE CV,4,1,1,25.0,2021-07-07,2021-07-07,57.0,1
EFFICIENT LABORATORIES INC,4,1,0,0.0,2021-12-29,2021-12-29,127.0,1
ELI LILLY COMPANY,4,4,1,25.0,2021-08-18,2024-04-24,34.5,2
FERRING PHARMACEUTICALS INC,4,3,0,0.0,2021-03-17,2023-07-05,25.0,2
GENENTECH INC,4,4,0,0.0,2021-05-05,2024-06-05,19.0,3
GLOBAL WIDGET LLC,4,1,0,0.0,2024-07-31,2024-07-31,36.0,1
HIKMA INJECTABLES USA INC,4,3,1,25.0,2024-05-08,2025-01-08,20.0,2
HUONS CO LTD,4,1,0,0.0,2026-04-22,2026-04-22,20.0,1
ISLAND KINETICS INC D B A COVALENCE LABORATORIES,4,2,0,0.0,2026-04-22,2026-04-22,35.0,1
KABANA SKIN CARE,4,1,0,0.0,2025-07-16,2025-07-16,126.0,1
LIQ E S A DE C V,4,1,4,100.0,2021-02-24,2021-02-24,219.0,1
LNK INTERNATIONAL INC,4,4,0,0.0,2021-07-28,2024-12-18,27.5,3
MONARCH PCM LLC,4,3,0,0.0,2021-09-29,2022-05-25,28.0,2
MORTON GROVE PHARMACEUTICALS INC,4,2,0,0.0,2021-09-29,2022-03-09,26.0,2
NEW LIFE PHARMA LLC,4,1,0,0.0,2026-03-11,2026-03-11,13.0,1
NURI TRADING LLC,4,1,4,100.0,2021-07-28,2021-07-28,121.0,1
NUTRACEUTICAL CORPORATION,4,1,0,0.0,2023-03-15,2023-03-15,20.0,1
OWEN BIOSCIENCES INC,4,1,0,0.0,2026-04-22,2026-04-22,50.0,1
PAI HOLDINGS LLC,4,1,0,0.0,2026-06-24,2026-06-24,40.0,1
PAI HOLDINGS LLC DBA PHARMACEUTICAL ASSOCIATES INC,4,2,0,0.0,2021-08-18,2025-02-12,20.0,2
PRECISION DOSE INC,4,3,0,0.0,2021-01-20,2026-07-29,16.0,2
QMART,4,1,0,0.0,2021-05-12,2021-05-12,42.0,1
RELIANCE LIFE SCIENCES PRIVATE LIMITED,4,1,0,0.0,2026-07-15,2026-07-15,21.0,1
RUBICON RESEARCH PRIVATE LIMITED,4,4,0,0.0,2022-01-19,2024-09-25,24.5,2
SANIT TECHNOLOGIES LLC DBA DURISAN,4,1,2,50.0,2021-07-21,2021-07-21,133.0,1
SEAWAY PHARMA INC,4,1,0,0.0,2024-01-10,2024-01-10,13.0,1
SECOND TOKUSHIMA FACTORY OTSUKA PHARMACEUTICAL CO LTD,4,1,0,0.0,2024-05-01,2024-05-01,22.0,1
SIGMAPHARM LABORATORIES LLC,4,3,0,0.0,2021-05-26,2021-10-06,28.0,1
SSM HEALTH CARE ST LOUIS DBA SSM ST CLARE HEALTH CENTER,4,3,0,0.0,2021-10-20,2024-04-10,35.0,3
TARO PHARMACEUTICALS U S A INC,4,4,1,25.0,2021-02-10,2024-08-21,34.0,3
TSM BRANDS LLC,4,2,0,0.0,2022-03-09,2022-09-07,40.0,1
VISTAPHARM LLC,4,4,1,25.0,2023-09-20,2023-12-06,20.5,1
VITAE ENIM VITAE SCIENTIFIC INC,4,1,0,0.0,2022-04-13,2022-04-13,30.0,1
A P DEAUVILLE LLC,3,1,0,0.0,2025-07-23,2025-07-23,13.0,1
ADVANCED ACCELERATOR APPLICATIONS USA INC,3,3,0,0.0,2022-04-13,2024-10-09,16.0,3
AJANTA PHARMA LTD,3,1,0,0.0,2026-05-13,2026-05-13,14.0,1
ALCON RESEARCH LLC,3,2,1,33.33,2025-01-22,2026-05-06,15.0,2
ALEMBIC PHARMACEUTICALS INC,3,3,0,0.0,2023-08-02,2026-04-08,27.0,2
AMAZON COM INC,3,1,3,100.0,2022-07-27,2022-07-27,62.0,1
AMS PACKAGING INC,3,2,0,0.0,2022-03-02,2022-06-22,33.0,1
ASCENT CONSUMER PRODUCTS INC,3,1,3,100.0,2025-04-02,2025-04-02,64.0,1
ASP CARES,3,1,0,0.0,2021-12-08,2021-12-08,21.0,1
AUROLIFE PHARMA LLC,3,3,0,0.0,2022-04-06,2023-06-28,20.0,2
AVEVA DRUG DELIVERY SYSTEMS INC,3,2,0,0.0,2023-03-22,2026-06-03,35.0,2
BAYCARE INTEGRATED SERVICE CENTER LLC DBA BAYCARE CENTRAL PHARMACY,3,3,1,33.33,2021-08-11,2022-12-21,16.0,2
BIOMIC SCIENCES LLC DBA ION INTELLIGENCE OF NATURE,3,1,1,33.33,2023-11-01,2023-11-01,33.0,1
BOEHRINGER INGELHEIM PHARMACEUTICALS INC,3,3,0,0.0,2021-06-09,2026-07-08,26.0,3
BOTANICAL BE,3,1,3,100.0,2023-12-06,2023-12-06,47.0,1
CHINA GEL INC,3,1,0,0.0,2021-09-08,2021-09-08,182.0,1
CONTRACT PHARMACEUTICALS LIMITED CANADA,3,2,0,0.0,2023-09-06,2024-03-13,22.0,2
ECO LIPS INC,3,2,0,0.0,2022-06-01,2022-08-03,35.0,1
EPI HEALTH LLC,3,1,0,0.0,2024-05-01,2024-05-01,8.0,1
GADGET ISLAND INC,3,1,3,100.0,2023-05-10,2023-05-10,14.0,1
GLAXOSMITHKLINE CONSUMER HEALTHCARE HOLDINGS DBA HALEON,3,1,3,100.0,2023-02-01,2023-02-01,57.0,1
GLAXOSMITHKLINE LLC,3,3,0,0.0,2022-06-01,2024-06-12,22.0,2
HTO NEVADA INC DBA KIRKMAN,3,1,0,0.0,2026-03-11,2026-03-11,21.0,1
HYOBIN LLC,3,1,0,0.0,2021-05-26,2021-05-26,50.0,1
INTEGRITY BIO CHEMICALS LLC,3,1,0,0.0,2023-11-29,2023-11-29,42.0,1
JARMAN S MIDWEST CLEANING SYSTEMS INC,3,1,2,66.67,2023-06-21,2023-06-21,86.0,1
JB CHEMICALS AND PHARMACEUTICALS LTD,3,2,0,0.0,2025-10-29,2026-05-13,47.0,2
JOHNSON S C AND SON INC,3,2,0,0.0,2025-03-19,2025-04-02,34.0,1
L OREAL USA,3,1,0,0.0,2025-05-21,2025-05-21,77.0,1
MACLEODS PHARMACEUTICALS LTD,3,3,0,0.0,2024-12-25,2025-07-16,30.0,2
MCKESSON,3,3,1,33.33,2025-02-05,2026-07-08,28.0,2
MEDIQUE PRODUCTS,3,1,0,0.0,2022-01-26,2022-01-26,51.0,1
MEITHEAL PHARMACEUTICALS INC,3,3,1,33.33,2021-03-03,2026-02-18,19.0,2
MIRACLE 8989,3,1,3,100.0,2021-06-30,2021-06-30,43.0,1
NEPTUNE RESOURCES LLC,3,1,3,100.0,2024-02-28,2024-02-28,47.0,1
NOSTRUM LABORATORIES INC,3,3,0,0.0,2021-01-20,2025-08-06,16.0,2
OMEGA DELTA CO INC,3,1,0,0.0,2023-11-22,2023-11-22,33.0,1
ORGANON LLC,3,1,0,0.0,2024-06-19,2024-06-19,22.0,1
OTSUKA ICU MEDICAL LLC,3,2,2,66.67,2025-11-05,2025-11-26,28.0,1
OURPHARMA LLC,3,3,0,0.0,2022-12-21,2025-04-30,19.0,3
PAR STERILE PRODUCTS LLC,3,3,1,33.33,2023-11-15,2024-04-03,30.0,2
